n,r,m
(:Entity {name: SANKHAYANA}),[:REL {type: Called}],(:Entity {name: Sankhayana})
(:Entity {name: SANTA}),[:REL {type: King Of}],(:Entity {name: Anga})
(:Entity {name: SANTA}),[:REL {type: Son Of}],(:Entity {name: Aja})
(:Entity {name: SANTA}),[:REL {type: Daughter Of}],(:Entity {name: Dasa-ratha})
(:Entity {name: SANTA}),[:REL {type: Married To}],(:Entity {name: Rishya-sringa})
(:Entity {name: SANTANU}),[:REL {type: Father Of}],(:Entity {name: Bhishma})
(:Entity {name: SANTANU}),[:REL {type: Son Of}],(:Entity {name: Pratipa})
(:Entity {name: SANTANU}),[:REL {type: Grandfather Of}],(:Entity {name: Dhritarasta})
(:Entity {name: SARADWAT}),[:REL {type: Called}],(:Entity {name: Gautama})
(:Entity {name: SARADWAT}),[:REL {type: Father Of}],(:Entity {name: Kripa})
(:Entity {name: SARAMA}),[:REL {type: Wife Of}],(:Entity {name: Vibhishana})
(:Entity {name: Vibhishana}),[:REL {type: Allied With}],(:Entity {name: Rama})
(:Entity {name: Vibhishana}),[:REL {type: Brother Of}],(:Entity {name: Ravana})
(:Entity {name: Vibhishana}),[:REL {type: Throne Of}],(:Entity {name: Lanka})
(:Entity {name: Vibhishana}),[:REL {type: Son of}],(:Entity {name: Visravas})
(:Entity {name: Vibhishana}),[:REL {type: Son of}],(:Entity {name: Nikasha})
(:Entity {name: Vibhishana}),[:REL {type: Meaning}],(:Entity {name: Terrible})
(:Entity {name: SARANYU}),[:REL {type: Son Of}],(:Entity {name: Aditi})
(:Entity {name: SARANYU}),[:REL {type: Mother Of}],(:Entity {name: Yama})
(:Entity {name: SARANYU}),[:REL {type: Daughter Of}],(:Entity {name: Twashirn})
(:Entity {name: SARANYU}),[:REL {type: Daughter Of}],(:Entity {name: Twashiri})
(:Entity {name: SARANYU}),[:REL {type: Offspring Of}],(:Entity {name: Savarna})
(:Entity {name: SARASWATA}),[:REL {type: Called}],(:Entity {name: Saraswata})
(:Entity {name: SARMISHTHA}),[:REL {type: Wife Of}],(:Entity {name: Yayati})
(:Entity {name: SARMISHTHA}),[:REL {type: Daughter Of}],(:Entity {name: Vrishaparvan})
(:Entity {name: SARMISHTHA}),[:REL {type: Mother Of}],(:Entity {name: Puru})
(:Entity {name: Puru}),[:REL {type: Son of}],(:Entity {name: Yayati})
(:Entity {name: Puru}),[:REL {type: Assumed decrepitude of}],(:Entity {name: Yayati})
(:Entity {name: Puru}),[:REL {type: Brother Of}],(:Entity {name: Turvasa})
(:Entity {name: SASTRA}),[:REL {type: Daughter Of}],(:Entity {name: Brahma})
(:Entity {name: SASTRA}),[:REL {type: Wife Of}],(:Entity {name: Krishna})
(:Entity {name: SASTRA}),[:REL {type: Called}],(:Entity {name: Savitri})
(:Entity {name: SASTRA}),[:REL {type: Son Of}],(:Entity {name: Hridika})
(:Entity {name: SASTRA}),[:REL {type: Father Of}],(:Entity {name: Satya-bhama})
(:Entity {name: SASTRA}),[:REL {type: Named}],(:Entity {name: Saibya})
(:Entity {name: SASTRA}),[:REL {type: Named}],(:Entity {name: Swayam-})
(:Entity {name: SATRAJIT}),[:REL {type: Killed By}],(:Entity {name: Krishna})
(:Entity {name: SATRAJIT}),[:REL {type: Brother Of}],(:Entity {name: Rama})
(:Entity {name: SATRAJIT}),[:REL {type: Cousin Of}],(:Entity {name: Sita})
(:Entity {name: SATRAJIT}),[:REL {type: Son Of}],(:Entity {name: Saradwat})
(:Entity {name: SATRAJIT}),[:REL {type: Son Of}],(:Entity {name: Nighna})
(:Entity {name: SATRAJIT}),[:REL {type: Daughter Of}],(:Entity {name: Satrajita})
(:Entity {name: SATRAJIT}),[:REL {type: Named}],(:Entity {name: Satadhanwan})
(:Entity {name: Satrajita}),[:REL {type: Killed By}],(:Entity {name: Satadhanwan})
(:Entity {name: Satrajita}),[:REL {type: Brother Of}],(:Entity {name: Prasena})
(:Entity {name: Satadhanwan}),[:REL {type: Pursued By}],(:Entity {name: Krishna})
(:Entity {name: Satadhanwan}),[:REL {type: Killed By}],(:Entity {name: Krishna})
(:Entity {name: Satadhanwan}),[:REL {type: Gave Gem To}],(:Entity {name: Akrura})
(:Entity {name: Satadhanwan}),[:REL {type: Pursued By}],(:Entity {name: Balarama})
(:Entity {name: SATYAVAN}),[:REL {type: Mother Of}],(:Entity {name: Vichitra-virya})
(:Entity {name: SATYAVAN}),[:REL {type: Mother Of}],(:Entity {name: Vyasa})
(:Entity {name: SATYAVAN}),[:REL {type: Mother Of}],(:Entity {name: Parasu-rama})
(:Entity {name: SATYAVAN}),[:REL {type: Daughter Of}],(:Entity {name: King})
(:Entity {name: SATYAVAN}),[:REL {type: Wife Of}],(:Entity {name: King})
(:Entity {name: SATYAVAN}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: SATYAVAN}),[:REL {type: Mother Of}],(:Entity {name: Jamad-agni})
(:Entity {name: SATYAVAN}),[:REL {type: Daughter Of}],(:Entity {name: Uparichara})
(:Entity {name: SATYAVAN}),[:REL {type: Called}],(:Entity {name: Dwaipayana})
(:Entity {name: SATYAVAN}),[:REL {type: Named}],(:Entity {name: Adrika})
(:Entity {name: SATYAVAN}),[:REL {type: Named}],(:Entity {name: Vedhas})
(:Entity {name: Uparichara}),[:REL {type: Appointed By}],(:Entity {name: Indra})
(:Entity {name: Uparichara}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: Uparichara}),[:REL {type: Consort Of}],(:Entity {name: Adrika})
(:Entity {name: Uparichara}),[:REL {type: Also Known As}],(:Entity {name: Vasu})
(:Entity {name: Adrika}),[:REL {type: Condemned To Live As}],(:Entity {name: Fish})
(:Entity {name: SAUDASA}),[:REL {type: Son Of}],(:Entity {name: King})
(:Entity {name: SAUNAKA}),[:REL {type: Son Of}],(:Entity {name: Sunaka})
(:Entity {name: SAUNAKA}),[:REL {type: Grandson Of}],(:Entity {name: Gritsamada})
(:Entity {name: SAUNAKA}),[:REL {type: Son Of}],(:Entity {name: Gritsamada})
(:Entity {name: SAVARNA}),[:REL {type: Wife Of}],(:Entity {name: Vivaswat})
(:Entity {name: SAVARNA}),[:REL {type: Wife Of}],(:Entity {name: Prachinabarhis})
(:Entity {name: SAVITRL 1}),[:REL {type: Wife Of}],(:Entity {name: Brahma})
(:Entity {name: SAVITRL 1}),[:REL {type: Daughter Of}],(:Entity {name: King})
(:Entity {name: SAVITRL 1}),[:REL {type: Called}],(:Entity {name: Gayatri})
(:Entity {name: Gayatri}),[:REL {type: Associated With}],(:Entity {name: Veda-Matri})
(:Entity {name: SAYANA}),[:REL {type: Brother Of}],(:Entity {name: Madhavacharya})
(:Entity {name: SESHA}),[:REL {type: Son Of}],(:Entity {name: Kasyapa})
(:Entity {name: SESHA}),[:REL {type: Called}],(:Entity {name: Ananta})
(:Entity {name: SESHA}),[:REL {type: Called}],(:Entity {name: Patala})
(:Entity {name: SESHA}),[:REL {type: Called}],(:Entity {name: Mani-dwipa})
(:Entity {name: SESHA}),[:REL {type: Named}],(:Entity {name: Ananta-sirsha})
(:Entity {name: SIKHANDIN}),[:REL {type: Son Of}],(:Entity {name: Drupada})
(:Entity {name: SIKHANDIN}),[:REL {type: Daughter Of}],(:Entity {name: Raja})
(:Entity {name: SINHIKA}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: SINHIKA}),[:REL {type: Daughter Of}],(:Entity {name: Kasyapa})
(:Entity {name: SINHIKA}),[:REL {type: Wife Of}],(:Entity {name: Viprachitti})
(:Entity {name: SISUMARA}),[:REL {type: Cousin Of}],(:Entity {name: Krishna})
(:Entity {name: SISUMARA}),[:REL {type: Slain By}],(:Entity {name: Krishna})
(:Entity {name: SISUMARA}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: SISUMARA}),[:REL {type: Sister Of}],(:Entity {name: Vasudeva})
(:Entity {name: SISUMARA}),[:REL {type: Son Of}],(:Entity {name: Damaghosha})
(:Entity {name: SISUMARA}),[:REL {type: Form Of}],(:Entity {name: Raghava})
(:Entity {name: Valmiki}),[:REL {type: Author Of}],(:Entity {name: Ramayana})
(:Entity {name: Valmiki}),[:REL {type: sheltered}],(:Entity {name: Sita})
(:Entity {name: Valmiki}),[:REL {type: Taught}],(:Entity {name: Kusa})
(:Entity {name: Valmiki}),[:REL {type: Taught}],(:Entity {name: Lava})
(:Entity {name: Valmiki}),[:REL {type: Abode}],(:Entity {name: Chitrakuta})
(:Entity {name: Valmiki}),[:REL {type: Invention}],(:Entity {name: Sloka})
(:Entity {name: Sivi}),[:REL {type: Son of}],(:Entity {name: Usinara})
(:Entity {name: Sivi}),[:REL {type: King of}],(:Entity {name: Usinara})
(:Entity {name: Sivi}),[:REL {type: Praised by}],(:Entity {name: Sage Markandeya})
(:Entity {name: Sivi}),[:REL {type: Protected}],(:Entity {name: Pigeon})
(:Entity {name: Sivi}),[:REL {type: Sacrificed flesh for}],(:Entity {name: Pigeon})
(:Entity {name: Sivi}),[:REL {type: Sacrificed son}],(:Entity {name: Vrihadgarbha})
(:Entity {name: Pigeon}),[:REL {type: Took refuge in}],(:Entity {name: Sivi})
(:Entity {name: Falcon}),[:REL {type: Demanded sacrifice from}],(:Entity {name: Sivi})
(:Entity {name: Falcon}),[:REL {type: Tested devotion of}],(:Entity {name: Sivi})
(:Entity {name: Falcon}),[:REL {type: Pursued}],(:Entity {name: Pigeon})
(:Entity {name: Skambha}),[:REL {type: Considered as}],(:Entity {name: Supreme Deity})
(:Entity {name: Skanda Purana}),[:REL {type: Dedicated to}],(:Entity {name: Siva})
(:Entity {name: Skanda Purana}),[:REL {type: Narrated by}],(:Entity {name: Skanda})
(:Entity {name: Kasi Khanda}),[:REL {type: Describes temples of}],(:Entity {name: Siva})
(:Entity {name: Kasi Khanda}),[:REL {type: Gives instructions for worshipping}],(:Entity {name: Siva})
(:Entity {name: Utkala Khanda}),[:REL {type: Associated with}],(:Entity {name: Orissa})
(:Entity {name: Usanas}),[:REL {type: Supported}],(:Entity {name: Soma})
(:Entity {name: Usanas}),[:REL {type: Also Known As}],(:Entity {name: Sukra (Venus)})
(:Entity {name: Usanas}),[:REL {type: Author Of}],(:Entity {name: Dharma-sastra})
(:Entity {name: Danavas}),[:REL {type: Supported}],(:Entity {name: Soma})
(:Entity {name: Somadeva Bhatta}),[:REL {type: Writer Of}],(:Entity {name: Katha-sarit-sagara})
(:Entity {name: Somaka}),[:REL {type: Grandfather Of}],(:Entity {name: Drupada})
(:Entity {name: Somanatha}),[:REL {type: Is An Emblem Of}],(:Entity {name: Siva})
(:Entity {name: Mahmud of Ghazni}),[:REL {type: Destroyed}],(:Entity {name: Somanatha})
(:Entity {name: Soma Vansa}),[:REL {type: Also Known As}],(:Entity {name: Chandra Vansa})
(:Entity {name: Sraddha}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Sraddha}),[:REL {type: Wife Of}],(:Entity {name: Dharma})
(:Entity {name: Sraddha}),[:REL {type: Mother Of}],(:Entity {name: Kama-deva})
(:Entity {name: Kama-deva}),[:REL {type: Vahana}],(:Entity {name: Makara})
(:Entity {name: Kama-deva}),[:REL {type: Vahana}],(:Entity {name: Parrot})
(:Entity {name: Sraddha-Deva}),[:REL {type: Also Known As}],(:Entity {name: Manu})
(:Entity {name: Sraddha-Deva}),[:REL {type: Also Known As}],(:Entity {name: Yama})
(:Entity {name: Sri Daman}),[:REL {type: Friend Of}],(:Entity {name: Krishna})
(:Entity {name: Guha}),[:REL {type: Friend Of}],(:Entity {name: Rama})
(:Entity {name: Sri Harsha Deva}),[:REL {type: Author Of}],(:Entity {name: Naishadha})
(:Entity {name: Sri Harsha Deva}),[:REL {type: Author Of}],(:Entity {name: Ratnavali})
(:Entity {name: Rudra Bhatta}),[:REL {type: Author Of}],(:Entity {name: Sringara Tilaka})
(:Entity {name: Sthanu}),[:REL {type: Also Known As}],(:Entity {name: Siva})
(:Entity {name: Sthuna-Karna}),[:REL {type: Changed Sexes With}],(:Entity {name: Sikhandini})
(:Entity {name: Subahu}),[:REL {type: Son Of}],(:Entity {name: Dhritarashtra})
(:Entity {name: Subahu}),[:REL {type: King Of}],(:Entity {name: Mathura})
(:Entity {name: Subahu}),[:REL {type: King Of}],(:Entity {name: Chedi})
(:Entity {name: Subahu}),[:REL {type: Son Of}],(:Entity {name: Satrughna})
(:Entity {name: Yakshi}),[:REL {type: Wife Of}],(:Entity {name: Kubera})
(:Entity {name: Subhanu}),[:REL {type: Son Of}],(:Entity {name: Krishna})
(:Entity {name: Subhanu}),[:REL {type: Son Of}],(:Entity {name: Satyabhama})
(:Entity {name: SuBrahmanya}),[:REL {type: Also Known As}],(:Entity {name: Kartikeya})
(:Entity {name: SuCharu}),[:REL {type: Son Of}],(:Entity {name: Krishna})
(:Entity {name: SuCharu}),[:REL {type: Son Of}],(:Entity {name: Rukmini})
(:Entity {name: SuDeshna}),[:REL {type: Son Of}],(:Entity {name: Krishna})
(:Entity {name: SuDeshna}),[:REL {type: Wife Of}],(:Entity {name: Bali})
(:Entity {name: SuDeshna}),[:REL {type: Mistress Of}],(:Entity {name: Draupadi})
(:Entity {name: SuDeshna}),[:REL {type: Son Of}],(:Entity {name: Rukmini})
(:Entity {name: SuDeshna}),[:REL {type: Wife Of}],(:Entity {name: Raja Virata})
(:Entity {name: SuDyumna}),[:REL {type: Favoured By}],(:Entity {name: Vishnu})
(:Entity {name: SuDyumna}),[:REL {type: Also Known As}],(:Entity {name: Ila})
(:Entity {name: SuDyumna}),[:REL {type: Son Of}],(:Entity {name: Manu Vaivaswata})
(:Entity {name: SDyumna}),[:REL {type: Cursed By}],(:Entity {name: Siva})
(:Entity {name: Devayani}),[:REL {type: Wife Of}],(:Entity {name: Yayati})
(:Entity {name: Jayanti}),[:REL {type: Wife Of}],(:Entity {name: Sukra})
(:Entity {name: Su-Mantra}),[:REL {type: Friend Of}],(:Entity {name: Rama})
(:Entity {name: Su-Mantra}),[:REL {type: Counsellor Of}],(:Entity {name: Raja Dasaratha})
(:Entity {name: SuMantu}),[:REL {type: Pupil Of}],(:Entity {name: Veda Vyasa})
(:Entity {name: SuMantu}),[:REL {type: Guided By}],(:Entity {name: Veda Vyasa})
(:Entity {name: Sumbha}),[:REL {type: Votary Of}],(:Entity {name: Siva})
(:Entity {name: Sumbha}),[:REL {type: Killed By}],(:Entity {name: Durga})
(:Entity {name: Sumbha}),[:REL {type: Brother Of}],(:Entity {name: Nishumbha})
(:Entity {name: Nishumbha}),[:REL {type: Votary Of}],(:Entity {name: Siva})
(:Entity {name: Nishumbha}),[:REL {type: Killed By}],(:Entity {name: Durga})
(:Entity {name: Tilottama}),[:REL {type: Desired by}],(:Entity {name: Upasunda})
(:Entity {name: Tilottama}),[:REL {type: Cause Of Death}],(:Entity {name: Upasunda})
(:Entity {name: Tilottama}),[:REL {type: Desired by}],(:Entity {name: Sunda})
(:Entity {name: Tilottama}),[:REL {type: Cause Of Death}],(:Entity {name: Sunda})
(:Entity {name: Tilottama}),[:REL {type: Originally}],(:Entity {name: Brahman Female})
(:Entity {name: Tilottama}),[:REL {type: Cursed To Become}],(:Entity {name: Apsaras})
(:Entity {name: Rohita}),[:REL {type: Purchased}],(:Entity {name: Sunahsephas})
(:Entity {name: Rohita}),[:REL {type: Son Of}],(:Entity {name: Harischandra})
(:Entity {name: Harischandra}),[:REL {type: Son Of}],(:Entity {name: Varuna})
(:Entity {name: Sunaman}),[:REL {type: Brother of}],(:Entity {name: Kansa})
(:Entity {name: Sunaman}),[:REL {type: Son of}],(:Entity {name: Ugrasena})
(:Entity {name: Sunaman}),[:REL {type: Slain by}],(:Entity {name: Balarama})
(:Entity {name: Sunda}),[:REL {type: Brother of}],(:Entity {name: Upasunda})
(:Entity {name: Sunda}),[:REL {type: Son of}],(:Entity {name: Nisunda})
(:Entity {name: Su-Parswa}),[:REL {type: Son of}],(:Entity {name: Sampati})
(:Entity {name: Su-Parswa}),[:REL {type: Nephew of}],(:Entity {name: Jatayus})
(:Entity {name: Supriya}),[:REL {type: Chief of}],(:Entity {name: Gandharvas})
(:Entity {name: Sora}),[:REL {type: Grandfather of}],(:Entity {name: Krishna})
(:Entity {name: Sora}),[:REL {type: Father of}],(:Entity {name: Kunti})
(:Entity {name: Sora}),[:REL {type: Father of}],(:Entity {name: Vasudeva})
(:Entity {name: Surasa}),[:REL {type: Tried to swallow}],(:Entity {name: Hanuman})
(:Entity {name: Surasa}),[:REL {type: Mother of}],(:Entity {name: Nagas})
(:Entity {name: Yami}),[:REL {type: Sister of}],(:Entity {name: Yama})
(:Entity {name: Aswins}),[:REL {type: Sons Of}],(:Entity {name: Saranyu})
(:Entity {name: Sani}),[:REL {type: Vahana}],(:Entity {name: Vulture})
(:Entity {name: Surya Siddhanta}),[:REL {type: Revealed By}],(:Entity {name: Surya})
(:Entity {name: Surya Vansa}),[:REL {type: also known as}],(:Entity {name: Solar Race})
(:Entity {name: Surya Vansa}),[:REL {type: Descended From}],(:Entity {name: Ikshvaku})
(:Entity {name: Ikshvaku}),[:REL {type: Founder Of}],(:Entity {name: Solar Race})
(:Entity {name: Vikukshi}),[:REL {type: Son of}],(:Entity {name: Ikshwaku})
(:Entity {name: Vikukshi}),[:REL {type: Son Of}],(:Entity {name: Ikshvaku})
(:Entity {name: Vikukshi}),[:REL {type: King of}],(:Entity {name: Solar race})
(:Entity {name: Vikukshi}),[:REL {type: Also Called}],(:Entity {name: Sasada})
(:Entity {name: Sushena}),[:REL {type: Son Of}],(:Entity {name: Krishna})
(:Entity {name: Sushena}),[:REL {type: Physician Of}],(:Entity {name: Rama})
(:Entity {name: Sushena}),[:REL {type: Son Of}],(:Entity {name: Rukmini})
(:Entity {name: Sushna}),[:REL {type: Killed By}],(:Entity {name: Indra})
(:Entity {name: Sutikshna}),[:REL {type: Visited By}],(:Entity {name: Rama})
(:Entity {name: Sutikshna}),[:REL {type: Visited By}],(:Entity {name: Sita})
(:Entity {name: Suvahu}),[:REL {type: Killed By}],(:Entity {name: Rama})
(:Entity {name: Suvahu}),[:REL {type: Son Of}],(:Entity {name: Taraka})
(:Entity {name: Taraka}),[:REL {type: Killed By}],(:Entity {name: Rama})
(:Entity {name: Taraka}),[:REL {type: Killed By}],(:Entity {name: Skanda})
(:Entity {name: Taraka}),[:REL {type: Daughter Of}],(:Entity {name: Sunda})
(:Entity {name: Taraka}),[:REL {type: Son Of}],(:Entity {name: Vajranaka})
(:Entity {name: Taraka}),[:REL {type: Daughter Of}],(:Entity {name: Suketu})
(:Entity {name: Taraka}),[:REL {type: Mother Of}],(:Entity {name: Maricha})
(:Entity {name: Taraka}),[:REL {type: Changed Into}],(:Entity {name: Rakshasi by Agastya})
(:Entity {name: Swadha}),[:REL {type: Daughter Of}],(:Entity {name: Agni})
(:Entity {name: Swadha}),[:REL {type: Daughter Of}],(:Entity {name: Daksha})
(:Entity {name: Swadha}),[:REL {type: Connected With}],(:Entity {name: Pitris})
(:Entity {name: Swadha}),[:REL {type: Daughter Of}],(:Entity {name: Prasuti})
(:Entity {name: Swadha}),[:REL {type: Wife Of}],(:Entity {name: Kavi})
(:Entity {name: Swaphalaka}),[:REL {type: Father Of}],(:Entity {name: Akrura})
(:Entity {name: Swaphalaka}),[:REL {type: Husband Of}],(:Entity {name: Gandini})
(:Entity {name: SwayamBhu}),[:REL {type: Also Known As}],(:Entity {name: Brahma})
(:Entity {name: SwayamBhuva}),[:REL {type: Also Known As}],(:Entity {name: First Manu})
(:Entity {name: Syala}),[:REL {type: Insulted}],(:Entity {name: Sage Gargya})
(:Entity {name: Syala}),[:REL {type: Father Of}],(:Entity {name: Kalayavana})
(:Entity {name: Syama}),[:REL {type: Consort Of}],(:Entity {name: Siva})
(:Entity {name: Syama}),[:REL {type: Also Known As}],(:Entity {name: Devi})
(:Entity {name: Prasena}),[:REL {type: Killed By}],(:Entity {name: Lion})
(:Entity {name: Lion}),[:REL {type: Killed By}],(:Entity {name: Jambavat})
(:Entity {name: Syavaswa}),[:REL {type: Became Rishi By}],(:Entity {name: Maruts})
(:Entity {name: Syavaswa}),[:REL {type: Son Of}],(:Entity {name: Archananas})
(:Entity {name: Syavaswa}),[:REL {type: Married Daughter Of}],(:Entity {name: Rathaviti})
(:Entity {name: Archananas}),[:REL {type: Asked Daughter Of}],(:Entity {name: Rathaviti})
(:Entity {name: Sasiyasi}),[:REL {type: Gave Gifts To}],(:Entity {name: Syavaswa})
(:Entity {name: Sasiyasi}),[:REL {type: Wife Of}],(:Entity {name: Raja Taranta})
(:Entity {name: Raja Taranta}),[:REL {type: Gave Gifts To}],(:Entity {name: Syavaswa})
(:Entity {name: Raja Taranta}),[:REL {type: Permitted}],(:Entity {name: Sasiyasi})
(:Entity {name: Purumilha}),[:REL {type: Brother Of}],(:Entity {name: Raja Taranta})
(:Entity {name: Taksha}),[:REL {type: Nephew Of}],(:Entity {name: Rama})
(:Entity {name: Taksha}),[:REL {type: Son Of}],(:Entity {name: Bharata})
(:Entity {name: Taksha}),[:REL {type: Nephew Of}],(:Entity {name: Rama-chandra})
(:Entity {name: Takshaka}),[:REL {type: Son Of}],(:Entity {name: Kadru})
(:Entity {name: Takshaka}),[:REL {type: Is A Name Of}],(:Entity {name: Viswakarma})
(:Entity {name: Takshasila}),[:REL {type: Residence Of}],(:Entity {name: Taksha})
(:Entity {name: Talajangha}),[:REL {type: Son Of}],(:Entity {name: Jaya-dhwaja})
(:Entity {name: Talajangha}),[:REL {type: Founder Of Tribe}],(:Entity {name: Talajangha Haihayas})
(:Entity {name: Jayadhwaja}),[:REL {type: King Of}],(:Entity {name: Avanti})
(:Entity {name: Tandu}),[:REL {type: Attendant Of}],(:Entity {name: Siva})
(:Entity {name: Tandu}),[:REL {type: Invented Dance}],(:Entity {name: Tandava})
(:Entity {name: Tapati}),[:REL {type: Daughter Of}],(:Entity {name: Sun})
(:Entity {name: Tapati}),[:REL {type: Mother Of}],(:Entity {name: Kuru})
(:Entity {name: Tittiri}),[:REL {type: Pupil Of}],(:Entity {name: Yaska})
(:Entity {name: Tosalaka}),[:REL {type: Killed By}],(:Entity {name: Krishna})
(:Entity {name: Trijata}),[:REL {type: Befriended}],(:Entity {name: Sita})
(:Entity {name: Tri-lochana}),[:REL {type: Is}],(:Entity {name: Siva})
(:Entity {name: TriMurti}),[:REL {type: Consists Of}],(:Entity {name: Brahma})
(:Entity {name: TriMurti}),[:REL {type: Consists Of}],(:Entity {name: Vishnu})
(:Entity {name: TriMurti}),[:REL {type: Consists Of}],(:Entity {name: Siva})
(:Entity {name: Tripura}),[:REL {type: Gifted By}],(:Entity {name: Brahma})
(:Entity {name: Tripura}),[:REL {type: Gifted By}],(:Entity {name: Vishnu})
(:Entity {name: Tripura}),[:REL {type: Gifted By}],(:Entity {name: Siva})
(:Entity {name: TriSiras}),[:REL {type: Killed By}],(:Entity {name: Rama})
(:Entity {name: TriSiras}),[:REL {type: Friend Of}],(:Entity {name: Ravana})
(:Entity {name: TriSiras}),[:REL {type: Son Of}],(:Entity {name: Twashtri})
(:Entity {name: Trita}),[:REL {type: Helped By}],(:Entity {name: Gods})
(:Entity {name: Trita}),[:REL {type: Brother Of}],(:Entity {name: Ekata})
(:Entity {name: Trita}),[:REL {type: Brother Of}],(:Entity {name: Dwita})
(:Entity {name: Ekata}),[:REL {type: Brother Of}],(:Entity {name: Trita})
(:Entity {name: Ekata}),[:REL {type: Brother Of}],(:Entity {name: Dwita})
(:Entity {name: Dwita}),[:REL {type: Brother Of}],(:Entity {name: Trita})
(:Entity {name: Dwita}),[:REL {type: Brother Of}],(:Entity {name: Ekata})
"(:Entity {name: Ekata, Dwita, Trita})",[:REL {type: Produced By}],(:Entity {name: Agni})
(:Entity {name: Tritsus}),[:REL {type: Disciples Of}],(:Entity {name: Vasishtha})
(:Entity {name: Tri-Vikrama}),[:REL {type: Form Of}],(:Entity {name: Vishnu})
(:Entity {name: Tryambaka}),[:REL {type: Name Of}],(:Entity {name: Siva})
(:Entity {name: Tryambaka}),[:REL {type: One Of}],(:Entity {name: Twelve Great Lingas})
(:Entity {name: Tryambaka}),[:REL {type: One Of}],(:Entity {name: Rudras})
(:Entity {name: Tryaruna}),[:REL {type: Of Race}],(:Entity {name: Ikshvaku})
(:Entity {name: Tryaruna}),[:REL {type: Son Of}],(:Entity {name: Trivrishan})
(:Entity {name: Vrisa}),[:REL {type: Priest Of}],(:Entity {name: Tryaruna})
(:Entity {name: Vrisa}),[:REL {type: Restored To Life}],(:Entity {name: Brahman Boy})
(:Entity {name: Ikshwakus}),[:REL {type: Appeased}],(:Entity {name: Vrisa})
(:Entity {name: Tundra}),[:REL {type: Slain By}],(:Entity {name: Nahusha})
(:Entity {name: Vitunda}),[:REL {type: Son Of}],(:Entity {name: Tunda})
(:Entity {name: Vitunda}),[:REL {type: Slain By}],(:Entity {name: Bhagavati})
(:Entity {name: Turvasa}),[:REL {type: Son Of}],(:Entity {name: Yayati})
(:Entity {name: Turvasa}),[:REL {type: Brother Of}],(:Entity {name: Puru})
(:Entity {name: Turvasa}),[:REL {type: Son Of}],(:Entity {name: Devayani})
(:Entity {name: Twastri}),[:REL {type: Identified With}],(:Entity {name: Prajapati})
(:Entity {name: Twastri}),[:REL {type: Father Of}],(:Entity {name: Viswa-rupa})
(:Entity {name: Twastri}),[:REL {type: Father Of}],(:Entity {name: Saranyu})
(:Entity {name: Twastri}),[:REL {type: Identified With}],(:Entity {name: Viswakarman})
(:Entity {name: Viswarupa}),[:REL {type: Slain By}],(:Entity {name: Indra})
(:Entity {name: Viswarupa}),[:REL {type: Son Of}],(:Entity {name: Twastri})
(:Entity {name: Viswarupa}),[:REL {type: Also Known As}],(:Entity {name: Trisiras})
(:Entity {name: Saranyu}),[:REL {type: Wife Of}],(:Entity {name: Vivaswat})
(:Entity {name: Saranyu}),[:REL {type: Mother Of}],(:Entity {name: Aswins})
(:Entity {name: Saranyu}),[:REL {type: Daughter Of}],(:Entity {name: Twastri})
(:Entity {name: Uchchaisravas}),[:REL {type: Horse Of}],(:Entity {name: Indra})
(:Entity {name: Udayana}),[:REL {type: Also Known As}],(:Entity {name: Agastya})
(:Entity {name: Udayana}),[:REL {type: Son Of}],(:Entity {name: Sahasranika})
(:Entity {name: Udayana}),[:REL {type: King Of}],(:Entity {name: Vatsa})
(:Entity {name: Udayana}),[:REL {type: Also Known As}],(:Entity {name: Vatsa-raja})
(:Entity {name: Udayana}),[:REL {type: Capital At}],(:Entity {name: Kausambi})
(:Entity {name: Udayana}),[:REL {type: Husband Of}],(:Entity {name: Vasavadatta})
(:Entity {name: Vatsa}),[:REL {type: King Of}],(:Entity {name: Vatsa})
(:Entity {name: Vasavadatta}),[:REL {type: Wife Of}],(:Entity {name: Udayana})
(:Entity {name: Vasavadatta}),[:REL {type: Daughter Of}],(:Entity {name: Chandasena})
(:Entity {name: Uddhava}),[:REL {type: Friend Of}],(:Entity {name: Krishna})
(:Entity {name: Uddhava}),[:REL {type: Counsellor Of}],(:Entity {name: Krishna})
(:Entity {name: Uddhava}),[:REL {type: Cousin Of}],(:Entity {name: Krishna})
(:Entity {name: Uddhava}),[:REL {type: Son Of}],(:Entity {name: Devabhaga})
(:Entity {name: Uddhava}),[:REL {type: Also Known As}],(:Entity {name: Pavanavyadhi})
(:Entity {name: Devabhaga}),[:REL {type: Brother Of}],(:Entity {name: Vasudeva})
(:Entity {name: Ugra}),[:REL {type: Also Known As}],(:Entity {name: Rudra})
(:Entity {name: Devaka}),[:REL {type: Son Of}],(:Entity {name: Ugrasena})
(:Entity {name: Ulukha}),[:REL {type: Envoy To}],(:Entity {name: Pandavas})
(:Entity {name: Ulukha}),[:REL {type: Ally Of}],(:Entity {name: Kauravas})
